age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
62;admin.;married;high.school;no;yes;no;cellular;may;thu;1068;8;163;9;nonexistent;-1.297;93.012;-42.083;3.007;5151;no
54;retired;single;high.school;no;no;yes;cellular;aug;fri;1782;5;126;7;success;-2.221;93.876;-39.391;2.561;5082;no
57;technician;married;university.degree;no;yes;no;cellular;feb;wed;1171;9;53;7;nonexistent;-0.98;93.42;-38.894;3.157;5109;no
54;blue-collar;married;basic.6y;no;yes;yes;cellular;aug;tue;1886;8;178;10;nonexistent;-0.753;93.808;-38.787;2.949;5131;no
49;services;married;high.school;no;yes;no;telephone;may;tue;1108;9;189;11;failure;-1.139;93.318;-41.322;3.187;5088;no
61;services;married;professional.course;no;yes;no;cellular;jul;thu;1634;6;108;7;nonexistent;-1.361;93.496;-42.666;2.402;5091;no
54;housemaid;married;professional.course;no;yes;no;cellular;jun;wed;1362;7;155;9;nonexistent;-0.434;92.929;-35.321;3.314;5090;yes
66;unemployed;married;high.school;no;yes;no;cellular;aug;wed;992;8;147;9;nonexistent;-0.761;93.123;-37.313;3.651;5149;no
68;blue-collar;married;high.school;no;yes;no;telephone;may;tue;1542;9;45;12;failure;-0.284;93.473;-34.031;3.684;5165;no
59;technician;married;basic.9y;no;yes;no;telephone;jul;fri;1058;9;119;14;nonexistent;-1.758;93.754;-39.093;2.203;5063;no
37;housemaid;married;high.school;no;yes;no;cellular;aug;thu;1002;8;90;4;nonexistent;0.222;93.062;-41.628;4.16;5151;no
47;retired;married;university.degree;no;yes;no;telephone;aug;mon;1177;10;10;11;nonexistent;-1.955;94.117;-37.576;2.405;5059;no
55;management;divorced;university.degree;no;yes;no;telephone;nov;tue;1120;10;153;10;nonexistent;-1.778;93.685;-38.111;2.919;5108;no
74;services;married;professional.course;no;yes;no;telephone;may;wed;1202;9;188;11;nonexistent;0.152;92.747;-41.863;3.041;5116;yes
69;services;single;basic.9y;no;yes;no;telephone;may;wed;1172;8;129;11;nonexistent;-0.389;92.699;-38.369;2.996;5071;yes
66;services;single;professional.course;no;yes;no;cellular;jun;tue;1665;8;179;7;nonexistent;-1.555;93.126;-33.593;2.86;5108;yes
45;admin.;married;basic.4y;no;yes;no;cellular;may;thu;1223;8;92;9;nonexistent;-2.081;93.978;-40.891;2.332;5026;no
47;blue-collar;single;basic.4y;no;yes;no;telephone;may;mon;974;11;68;11;nonexistent;-1.192;93.674;-42.075;2.717;5064;no
56;blue-collar;married;high.school;no;yes;yes;telephone;may;wed;1661;10;182;17;nonexistent;-2.181;94.027;-36.672;1.912;5109;no
63;admin.;single;basic.9y;no;yes;no;cellular;aug;tue;1008;8;163;7;failure;-1.5;93.498;-39.19;3.078;5103;no
59;blue-collar;married;university.degree;no;yes;no;cellular;sep;mon;880;7;68;10;nonexistent;-1.591;92.89;-41.412;3.082;5164;no
47;services;single;high.school;no;yes;no;cellular;may;wed;1095;11;107;9;nonexistent;-1.209;93.907;-38.299;2.62;5071;no
52;admin.;married;high.school;no;no;no;cellular;may;mon;1329;5;69;7;nonexistent;-1.263;92.743;-40.731;3.491;5171;no
